"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2020","3,134.93","3,118.33","3,134.93","3,115.71","-","0.72%"
"Jan 10, 2020","3,112.39","3,127.35","3,128.84","3,108.25","-","-0.27%"
"Jan 09, 2020","3,120.87","3,114.49","3,121.65","3,110.80","-","0.67%"
"Jan 08, 2020","3,100.21","3,086.47","3,113.22","3,084.91","-","0.50%"
"Jan 07, 2020","3,084.79","3,089.82","3,092.02","3,080.21","-","-0.26%"
"Jan 06, 2020","3,092.73","3,064.91","3,092.86","3,064.16","-","0.36%"
"Jan 03, 2020","3,081.74","3,076.91","3,092.05","3,075.23","-","-0.67%"
"Jan 02, 2020","3,102.58","3,090.60","3,102.72","3,081.67","-","0.85%"
"Dec 31, 2019","3,076.49","3,061.21","3,076.65","3,058.87","-","0.30%"
"Dec 30, 2019","3,067.31","3,085.92","3,085.92","3,063.07","-","-0.59%"
"Dec 27, 2019","3,085.41","3,092.09","3,093.26","3,080.28","-","0.00%"
"Dec 26, 2019","3,085.41","3,073.79","3,085.55","3,073.79","-","0.51%"
"Dec 24, 2019","3,069.66","3,071.49","3,072.18","3,066.80","-","-0.01%"
"Dec 23, 2019","3,069.92","3,072.78","3,073.43","3,068.49","-","0.09%"
"Dec 20, 2019","3,067.22","3,056.36","3,070.95","3,056.36","-","0.49%"
"Dec 19, 2019","3,052.12","3,040.45","3,052.13","3,040.45","-","0.46%"
"Dec 18, 2019","3,038.25","3,042.42","3,044.93","3,038.25","-","-0.04%"
"Dec 17, 2019","3,039.35","3,042.42","3,044.85","3,037.98","-","0.02%"
"Dec 16, 2019","3,038.74","3,030.76","3,044.68","3,030.76","-","0.73%"
"Dec 13, 2019","3,016.65","3,015.36","3,029.70","3,005.34","-","0.02%"
"Dec 12, 2019","3,016.16","2,991.36","3,023.54","2,988.89","-","0.81%"
"Dec 11, 2019","2,992.02","2,987.29","2,993.94","2,984.11","-","0.28%"
"Dec 10, 2019","2,983.78","2,987.38","2,992.47","2,979.21","-","-0.11%"
"Dec 09, 2019","2,987.05","2,993.67","2,999.42","2,987.03","-","-0.32%"
"Dec 06, 2019","2,996.71","2,984.39","3,001.34","2,984.39","-","0.89%"
"Dec 05, 2019","2,970.13","2,967.29","2,971.95","2,957.52","-","0.14%"
"Dec 04, 2019","2,965.85","2,954.98","2,972.28","2,954.98","-","0.61%"
"Dec 03, 2019","2,947.99","2,959.99","2,959.99","2,926.64","-","-0.64%"
"Dec 02, 2019","2,966.95","2,995.91","2,996.08","2,963.87","-","-0.89%"
"Nov 29, 2019","2,993.50","3,005.99","3,005.99","2,992.13","-","-0.42%"
"Nov 27, 2019","3,006.21","2,998.36","3,006.49","2,996.56","-","0.42%"
"Nov 26, 2019","2,993.61","2,987.65","2,995.52","2,984.73","-","0.22%"
"Nov 25, 2019","2,987.06","2,970.83","2,987.07","2,970.83","-","0.78%"
